"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1819/01","2019","Hermitage","Jade","RCB",10.9166666666667,2,"40k",0.25,6,2018-02-04,2018-02-11,NA,NA,NA,2018-04-12,"Folicur","tebuconazole",62,1,2018-04-15,NA,NA,NA,NA,NA,NA,1,2018-05-22,2018-04-24,5,"1-9",1.09544511501033,"stdev",0.543163586138961,NA,0.0020056820718209,0.154378576180425,"stdev",NA,NA,NA,NA,NA,28,17.0058813355851,42.6666666666667,19.3769622662239,385.5
"mung1819/01","2019","Hermitage","Jade","RCB",10.9833333333333,2,"40k",0.25,6,2018-02-04,2018-02-11,NA,NA,NA,2018-04-12,"Folicur","tebuconazole",62,2,2018-04-15,2018-04-29,NA,NA,NA,NA,NA,2,2018-05-22,2018-04-24,5,"1-9",0.894427190999916,"stdev",0.563552427948961,NA,0.0020056820718209,0.137626596198376,"stdev",NA,NA,NA,NA,NA,28,15.0066651858433,42.6666666666667,15.7310732840028,385.5
"mung1819/01","2019","Hermitage","Jade","RCB",11,2,"40k",0.25,6,2018-02-04,2018-02-11,NA,NA,NA,2018-04-12,"Folicur","tebuconazole",62,3,2018-04-23,NA,NA,NA,NA,NA,NA,1,2018-05-22,2018-04-24,7.16666666666667,"1-9",1.16904519445001,"stdev",0.57126369146109,NA,0.0020056820718209,0.0978511141400934,"stdev",NA,NA,NA,NA,NA,42.6666666666667,12.7383934099504,65.3333333333333,15.5263217365436,385.5
"mung1819/01","2019","Hermitage","Jade","RCB",11,2,"40k",0.25,6,2018-02-04,2018-02-11,NA,NA,NA,2018-04-12,"control","control",0,4,NA,NA,NA,NA,NA,NA,NA,0,2018-05-22,2018-04-24,7.5,"1-9",0.547722557505166,"stdev",0.587165300394463,NA,0.0020056820718209,0.129937717764842,"stdev",NA,NA,NA,NA,NA,41,15.7987341265052,65.3333333333333,15.5263217365436,385.5
"mung1819/02","2019","Hermitage","Jade","RCB",11.04,2,"40k",0.25,5,2018-02-18,2018-02-25,NA,NA,NA,2018-04-12,"Folicur","tebuconazole",62,1,2018-04-15,NA,NA,NA,NA,NA,NA,1,2018-05-22,2018-05-01,5.6,"1-9",1.51657508881031,"stdev",0.296209259399741,NA,0.00120855040158904,0.0477376863109956,"stdev",NA,NA,NA,NA,NA,49.8,18.3630062898208,67.2,20.0798406368178,1871.44646464646
"mung1819/02","2019","Hermitage","Jade","RCB",10.98,2,"40k",0.25,5,2018-02-18,2018-02-25,NA,NA,NA,2018-04-12,"Folicur","tebuconazole",62,2,2018-04-15,2018-04-29,NA,NA,NA,NA,NA,2,2018-05-22,2018-05-01,4.6,"1-9",0.547722557505166,"stdev",0.311682998384481,NA,0.00120855040158904,0.0722779337663361,"stdev",NA,NA,NA,NA,NA,47.8,16.0996894379985,60.8,16.5891530826622,1871.44646464646
"mung1819/02","2019","Hermitage","Jade","RCB",10.9,2,"40k",0.25,6,2018-02-18,2018-02-25,NA,NA,NA,2018-04-12,"Folicur","tebuconazole",62,3,2018-04-23,NA,NA,NA,NA,NA,NA,1,2018-05-22,2018-05-01,7.33333333333333,"1-9",0.516397779494322,"stdev",0.275859288476943,NA,0.00120855040158904,0.0275147857372496,"stdev",NA,NA,NA,NA,NA,83,17.2510869222783,106.666666666667,18.7047231112002,1871.44646464646
"mung1819/02","2019","Hermitage","Jade","RCB",11.0166666666667,2,"40k",0.25,6,2018-02-18,2018-02-25,NA,NA,NA,2018-04-12,"control","control",0,4,NA,NA,NA,NA,NA,NA,NA,0,2018-05-22,2018-05-01,7.83333333333333,"1-9",0.408248290463863,"stdev",0.289442983471044,NA,0.00120855040158904,0.0714435722670365,"stdev",NA,NA,NA,NA,NA,78.3333333333333,20.6946047719367,104,22.0544780033444,1871.44646464646
