"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1516/02","2016","Kingaroy","Jade","RCB",12,4,NA,0.75,4,2016-02-11,2016-02-19,NA,2016-04-05,NA,2016-03-09,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2016-05-10,2016-04-19,8.25,"1-9",NA,NA,0.810740008340961,"Yes",0.0264879032816503,0.207657235248763,"stdev",NA,NA,NA,NA,NA,172,NA,172,NA,2217.90476190476
"mung1516/02","2016","Kingaroy","Jade","RCB",12,4,NA,0.75,4,2016-02-11,2016-02-19,NA,2016-04-05,NA,2016-03-09,"Folicur","tebuconazole",62.35,2,2016-03-22,NA,NA,NA,NA,NA,NA,1,2016-05-10,2016-04-19,7,"1-9",NA,NA,1.03085097001764,"Yes",0.0264879032816503,0.135368755014623,"stdev",NA,NA,NA,NA,NA,113.5,NA,113.5,NA,2217.90476190476
"mung1516/02","2016","Kingaroy","Jade","RCB",12,4,NA,0.75,4,2016-02-11,2016-02-19,NA,2016-04-05,NA,2016-03-09,"Folicur","tebuconazole",62.35,3,2016-03-22,2016-04-05,NA,NA,NA,NA,NA,2,2016-05-10,2016-04-19,2.25,"1-9",NA,NA,1.03391855807744,"Yes",0.0264879032816503,0.118261083608172,"stdev",NA,NA,NA,NA,NA,47,NA,47,NA,2217.90476190476
"mung1516/02","2016","Kingaroy","Jade","RCB",12,4,NA,0.75,4,2016-02-11,2016-02-19,NA,2016-04-05,NA,2016-03-09,"Folicur","tebuconazole",62.35,4,2016-03-22,2016-04-05,2016-04-19,NA,NA,NA,NA,3,2016-05-10,2016-04-19,2.5,"1-9",NA,NA,0.872801149261209,"Yes",0.0264879032816503,0.228921246185548,"stdev",NA,NA,NA,NA,NA,54,NA,54,NA,2217.90476190476
"mung1516/02","2016","Kingaroy","Jade","RCB",12,4,NA,0.75,4,2016-02-11,2016-02-19,NA,2016-04-05,NA,2016-03-09,"Folicur","tebuconazole",62.35,5,2016-03-09,NA,NA,NA,NA,NA,NA,1,2016-05-10,2016-04-19,7.75,"1-9",NA,NA,0.89897266313933,"Yes",0.0264879032816503,0.195879370214153,"stdev",NA,NA,NA,NA,NA,140,NA,140,NA,2217.90476190476
"mung1516/02","2016","Kingaroy","Jade","RCB",12,4,NA,0.75,4,2016-02-11,2016-02-19,NA,2016-04-05,NA,2016-03-09,"Folicur","tebuconazole",62.35,6,2016-03-09,2016-03-22,NA,NA,NA,NA,NA,2,2016-05-10,2016-04-19,6.5,"1-9",NA,NA,0.943828689945042,"Yes",0.0264879032816503,0.180326067308196,"stdev",NA,NA,NA,NA,NA,87.5,NA,87.5,NA,2217.90476190476
"mung1516/02","2016","Kingaroy","Jade","RCB",12,4,NA,0.75,4,2016-02-11,2016-02-19,NA,2016-04-05,NA,2016-03-09,"Folicur","tebuconazole",62.35,7,2016-03-22,2016-04-05,NA,NA,NA,NA,NA,2,2016-05-10,2016-04-19,2.75,"1-9",NA,NA,0.944349141627429,"Yes",0.0264879032816503,0.0945439659399783,"stdev",NA,NA,NA,NA,NA,63.5,NA,63.5,NA,2217.90476190476
