"location","lat","lon"
"Hermitage Research Station",-28.215,152.1003
"Red Vale & Kingaroy Research Station",-26.58,151.83
"Gatton",-27.56,152.32
"Emerald Agricultural College",-23.54,148.19
"Bongeen 1 & 2",-27.51666,151.45
"NGA - Premer",-31.4514,149.9
"NGA - Millmerran",-27.87653,151.2567
"NGA - Marys Mount",-31.0245,150.0618
"NGA - Goolhi",-31,149.755
"Missen Flats",-27.905313,151.9772
"Wellcamp",-27.564277,151.867879
