"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1415/01","2015","Hermitage","Jade","RCB",12,4,NA,0.75,5,2015-01-19,2015-01-24,NA,NA,NA,2015-03-16,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2015-04-20,2015-04-06,7.8,"1-9",0.447213595499958,"stdev",2.04494796912711,NA,0.0398494193468165,0.178471455296239,"stdev",NA,NA,NA,NA,NA,82.6,12.5319591445233,110.6,15.1756383720752,2530.57333333333
"mung1415/01","2015","Hermitage","Jade","RCB",12,4,NA,0.75,5,2015-01-19,2015-01-24,NA,NA,NA,2015-03-16,"Folicur","tebuconazole",62.35,2,2015-03-02,2015-03-17,2015-03-31,NA,NA,NA,NA,3,2015-04-20,2015-04-06,3.2,"1-9",0.447213595499958,"stdev",2.26240754815719,NA,0.0398494193468165,0.140366342813558,"stdev",NA,NA,NA,NA,NA,21.7,6.26099033699941,29.4,7.66811580507233,2530.57333333333
"mung1415/01","2015","Hermitage","Jade","RCB",12,4,NA,0.75,5,2015-01-19,2015-01-24,NA,NA,NA,2015-03-16,"Folicur","tebuconazole",62.35,3,2015-03-17,NA,NA,NA,NA,NA,NA,1,2015-04-20,2015-04-06,6.6,"1-9",0.547722557505166,"stdev",2.01832081637042,NA,0.0398494193468165,0.166564874376974,"stdev",NA,NA,NA,NA,NA,61.8,3.32791225845875,86.8,6.26099033699941,2530.57333333333
"mung1415/01","2015","Hermitage","Jade","RCB",12,4,NA,0.75,5,2015-01-19,2015-01-24,NA,NA,NA,2015-03-16,"Folicur","tebuconazole",62.35,4,2015-03-17,2015-03-31,NA,NA,NA,NA,NA,2,2015-04-20,2015-04-06,5.4,"1-9",1.14017542509914,"stdev",2.15244335903438,NA,0.0398494193468165,0.248045374613036,"stdev",NA,NA,NA,NA,NA,55.4,19.8097198364843,75.6,24.9459415536876,2530.57333333333
"mung1415/01","2015","Hermitage","Jade","RCB",12,4,NA,0.75,5,2015-01-19,2015-01-24,NA,NA,NA,2015-03-16,"Folicur","tebuconazole",62.35,5,2015-03-24,NA,NA,NA,NA,NA,NA,1,2015-04-20,2015-04-06,6.6,"1-9",0.547722557505166,"stdev",2.12395419210967,NA,0.0398494193468165,0.0614447021679885,"stdev",NA,NA,NA,NA,NA,79.4,5.30801281083609,105,7,2530.57333333333
"mung1415/01","2015","Hermitage","Jade","RCB",12,4,NA,0.75,5,2015-01-19,2015-01-24,NA,NA,NA,2015-03-16,"Folicur","tebuconazole",62.35,6,2015-03-23,2015-04-07,NA,NA,NA,NA,NA,2,2015-04-20,2015-04-06,6.4,"1-9",0.547722557505166,"stdev",2.17552229592307,NA,0.0398494193468165,0.116393644700969,"stdev",NA,NA,NA,NA,NA,73.7,7.2852590894216,98,8.57321409974112,2530.57333333333
