"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1516/01","2016","Hermitage","Jade","RCB",12,4,NA,0.75,4,2016-02-03,2016-02-12,NA,NA,2016-04-15,2016-03-08,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2016-05-06,2016-04-15,8,"1-9",NA,NA,1.8029014960845,"Yes",0.156540054713087,0.128320361975073,"stdev",NA,NA,NA,NA,NA,119.625,NA,188.75,NA,546.872023809523
"mung1516/01","2016","Hermitage","Jade","RCB",12,4,NA,0.75,4,2016-02-03,2016-02-12,NA,NA,2016-04-15,2016-03-08,"Folicur","tebuconazole",62.35,2,2016-03-17,NA,NA,NA,NA,NA,NA,1,2016-05-06,2016-04-15,6.25,"1-9",NA,NA,2.21592426497294,"Yes",0.156540054713087,0.0910740044975385,"stdev",NA,NA,NA,NA,NA,71.75,NA,120,NA,546.872023809523
"mung1516/01","2016","Hermitage","Jade","RCB",12,4,NA,0.75,4,2016-02-03,2016-02-12,NA,NA,2016-04-15,2016-03-08,"Folicur","tebuconazole",62.35,3,2016-03-17,2016-03-30,NA,NA,NA,NA,NA,2,2016-05-06,2016-04-15,4.5,"1-9",NA,NA,2.37005422938906,"Yes",0.156540054713087,0.061208265564908,"stdev",NA,NA,NA,NA,NA,61.75,NA,97.5,NA,546.872023809523
"mung1516/01","2016","Hermitage","Jade","RCB",12,4,NA,0.75,4,2016-02-03,2016-02-12,NA,NA,2016-04-15,2016-03-08,"Folicur","tebuconazole",62.35,4,2016-03-17,2016-03-30,2016-04-13,NA,NA,NA,NA,3,2016-05-06,2016-04-15,3,"1-9",NA,NA,2.29299501336199,"Yes",0.156540054713087,0.0232342300773377,"stdev",NA,NA,NA,NA,NA,50.5,NA,75,NA,546.872023809523
"mung1516/01","2016","Hermitage","Jade","RCB",12,4,NA,0.75,4,2016-02-03,2016-02-12,NA,NA,2016-04-15,2016-03-08,"Folicur","tebuconazole",62.35,5,2016-03-08,NA,NA,NA,NA,NA,NA,1,2016-05-06,2016-04-15,4,"1-9",NA,NA,2.14142710288728,"Yes",0.156540054713087,0.12270880914608,"stdev",NA,NA,NA,NA,NA,61.125,NA,93.75,NA,546.872023809523
"mung1516/01","2016","Hermitage","Jade","RCB",12,4,NA,0.75,4,2016-02-03,2016-02-12,NA,NA,2016-04-15,2016-03-08,"Folicur","tebuconazole",62.35,6,2016-03-08,2016-03-22,NA,NA,NA,NA,NA,2,2016-05-06,2016-04-15,7.5,"1-9",NA,NA,2.33814656166156,"Yes",0.156540054713087,0.0679311771912164,"stdev",NA,NA,NA,NA,NA,64.375,NA,116.25,NA,546.872023809523
"mung1516/01","2016","Hermitage","Jade","RCB",12,4,NA,0.75,4,2016-02-03,2016-02-12,NA,NA,2016-04-15,2016-03-08,"Folicur","tebuconazole",62.35,7,2016-03-17,2016-03-30,NA,NA,NA,NA,NA,2,2016-05-06,2016-04-15,6.5,"1-9",NA,NA,2.33455140780362,"Yes",0.156540054713087,0.0442631756569171,"stdev",NA,NA,NA,NA,NA,53.75,NA,97.5,NA,546.872023809523
