"start_day","end_day","lm_pval","lm_rsquared","lm_adj_rsquared"
10,65,0.119909407904044,0.12898722808944,0.0805976296499649
11,65,0.122979663319027,0.127018736285063,0.0785197771897882
12,65,0.121969895355246,0.127660569973993,0.0791972683058818
13,65,0.122214899549615,0.127504342917423,0.0790323619683911
14,65,0.109771688365248,0.13587080190694,0.0878636242351032
15,65,0.137050487329662,0.118596944089103,0.0696301076496084
16,65,0.140040464545083,0.116922222701942,0.0678623461853831
17,65,0.141298250786363,0.116228740151382,0.067130336826459
18,65,0.153881942058012,0.109624153594492,0.0601588287941858
19,65,0.154147014644394,0.109491162625776,0.0600184494383195
20,65,0.1558469138635,0.108643949988459,0.0591241694322623
21,65,0.142774759729867,0.115422775809592,0.0662795966879023
22,65,0.147430458482148,0.112936928904041,0.0636556471764878
23,65,0.149039760814138,0.11209660873358,0.0627686425521117
24,65,0.151069520291884,0.111050129618909,0.0616640257088488
25,65,0.180442704164486,0.0973732236074189,0.0472272915856088
26,65,0.165278954044337,0.104112850281062,0.0543413419633427
27,65,0.128052716695465,0.123873500290576,0.0751998058622744
28,65,0.124967354302569,0.125770867775532,0.0772025826519507
29,65,0.0906299257987095,0.15081516606416,0.103638230845502
30,65,0.0691992124145248,0.171815702086449,0.125805463313474
10,66,0.117247221346332,0.130736045121819,0.082443603184142
11,66,0.12027952293176,0.12874722579228,0.0803442938918508
12,66,0.119273657992882,0.129401246250936,0.0810346488204319
13,66,0.119515100420406,0.129243748476986,0.0808684011701523
14,66,0.107248212825311,0.137684211978418,0.0897777793105524
15,66,0.134007484222743,0.120340527363376,0.0714705566613417
16,66,0.136815668902224,0.118730062803002,0.0697706218476128
17,66,0.138027402230053,0.118045645699707,0.0690481815719131
18,66,0.15037559868586,0.111406234230869,0.0620399139103612
19,66,0.150668238858499,0.111255849282911,0.0618811742430729
20,66,0.152366566163426,0.110389073079395,0.0609662438060283
21,66,0.139574609098167,0.117180709698539,0.0681351935706799
22,66,0.14417807274209,0.114664736018716,0.0654794435753109
23,66,0.145816202510604,0.113789483441567,0.0645555658549876
24,66,0.147787428938684,0.112749709909858,0.0634580271270723
25,66,0.176567715450685,0.0990364224762926,0.0489828903916422
26,66,0.16158060951163,0.105856246022219,0.0561815930234536
27,66,0.125225383679582,0.125610365263411,0.0770331633336001
28,66,0.122224470433062,0.127498246517437,0.0790259268795168
29,66,0.0886310611115777,0.152554041077011,0.105473710025734
30,66,0.0676143392823136,0.173614120617715,0.127703793985366
10,67,0.113153291274042,0.133505589744684,0.0853670113971664
11,67,0.115947600495874,0.131604479161076,0.0833602835589138
12,67,0.11445797089431,0.132612102070523,0.0844238855188854
13,67,0.114652520578407,0.132479751993568,0.0842841826598778
14,67,0.10256089410498,0.141169495218174,0.0934566893969611
15,67,0.125272268783957,0.125581237507368,0.0770024173688884
16,67,0.127977732018798,0.123919055694388,0.075247892121854
17,67,0.128807502298414,0.123416461622649,0.0747173761572405
18,67,0.14053912925267,0.116646514811543,0.0675713211899618
19,67,0.140813250264609,0.116495386280323,0.0674117966292294
20,67,0.142443449200473,0.115602870266616,0.0664696963925395
21,67,0.129936810498279,0.122737741622012,0.0740009494899017
22,67,0.133786324490896,0.120468833331904,0.0716059907392317
23,67,0.13512807852527,0.119693746344646,0.0707878433637928
24,67,0.136657075814598,0.11882010274462,0.0698656640082104
25,67,0.163692646335638,0.104855539148888,0.0551252913238264
