"start_day","end_day","lm_pval","lm_rsquared","lm_adj_rsquared"
-10,30,0.772562355540257,0.00476008621000622,-0.0505310201116602
-9,30,0.706482195806579,0.00806760178450001,-0.0470397536719167
-8,30,0.446089250483689,0.032615524456272,-0.0211280575183797
-7,30,0.380295955228454,0.0430105597649674,-0.0101555202480901
-6,30,0.276298105876563,0.0654477647242548,0.0135281960978245
-5,30,0.297932060144803,0.060000404335461,0.00777820457631984
-4,30,0.302297560913722,0.0589586958383722,0.0066786233849484
-3,30,0.297920574660469,0.0600031693514005,0.00778112320425606
-2,30,0.350836705528542,0.0484971943238525,-0.00436407265815575
-1,30,0.373171644725762,0.0442847769441027,-0.00881051322566928
0,30,0.384929351768228,0.0421989025855941,-0.011012269492984
1,30,0.386933824636029,0.0418518423316405,-0.0113786108721572
2,30,0.416582697939813,0.0369903717967217,-0.0165101631034605
3,30,0.511413484600193,0.0243262630885503,-0.0298778334065304
4,30,0.475022732548705,0.028723696511198,-0.0252360981270687
5,30,0.648150051302799,0.0118238132678757,-0.0430748637727978
6,30,0.619412722877682,0.0139917708834975,-0.0407864640674194
7,30,0.61123627706853,0.0146495956339531,-0.040092093497494
8,30,0.47267997010059,0.029025179177624,-0.0249178664236192
9,30,0.616296244190244,0.0142403082718218,-0.0405241190464103
-10,31,0.829670952491908,0.00263988232946683,-0.0527690130966738
-9,31,0.762969609004505,0.00518163889621992,-0.050086047831768
-8,31,0.495642469390029,0.0261678630665381,-0.0279339223186541
-7,31,0.425693782836605,0.0355928448538115,-0.0179853304320878
-6,31,0.312907513604391,0.0565014602451289,0.00408487470319163
-5,31,0.336816205392306,0.0513230226563895,-0.00138125386270005
-4,31,0.341436617129927,0.0503754439313232,-0.00238147585027004
-3,31,0.338355329902383,0.0510055469191877,-0.00171636714085754
-2,31,0.395976898989395,0.0403159553499116,-0.0129998249084267
-1,31,0.420023871920383,0.0364574628143907,-0.0170726781403654
0,31,0.434609577179865,0.0342662516044682,-0.0193856233063947
1,31,0.436773096235586,0.033950283161681,-0.0197191455515588
2,31,0.46919788896973,0.0294775929586889,-0.0244403185436062
3,31,0.569844938268901,0.0182764287589821,-0.0362637696432968
4,31,0.532850313448016,0.0219707054577453,-0.0323642553501577
5,31,0.714757996667509,0.00760034445609309,-0.0475329697407907
6,31,0.686560259172127,0.00925770824212175,-0.0457835301888714
7,31,0.677893733603366,0.00980488516505329,-0.0452059545479992
8,31,0.53946608478457,0.0212765420362734,-0.0330969834061559
9,31,0.69410044055835,0.00879628217019735,-0.0462705910425696
-10,32,0.6280839537896,0.0133142836407548,-0.0415015894903144
-9,32,0.563813019655327,0.0188483516491625,-0.0356600732592174
-8,32,0.32595612140336,0.053616413283767,0.00103954735508738
-7,32,0.278589332792857,0.0648472105751099,0.0128942778292827
-6,32,0.203545840439401,0.0881937162427773,0.0375378115895982
-5,32,0.223052139465078,0.0812894284037561,0.0302499522039648
-4,32,0.227952588899646,0.0796600390731176,0.0285300412438463
-3,32,0.22612881055759,0.0802618240798256,0.029165258750927
-2,32,0.27063400456774,0.0669579015204027,0.0151222293826473
-1,32,0.289514242362809,0.06206206786693,0.00995440497064837
0,32,0.297280215639946,0.0601575334197753,0.00794406305420714
1,32,0.298968085383886,0.0597515201370402,0.00751549347798686
2,32,0.316391721694125,0.0557167240157928,0.00325654201667025
3,32,0.397699238143098,0.040028865294127,-0.013302864411755
4,32,0.35560333772553,0.0475693348320024,-0.00534347989955308
5,32,0.499372670837174,0.0257236641068355,-0.0284027989983404
6,32,0.468638719577768,0.0295507283059981,-0.0243631201214465
7,32,0.461548209705509,0.0304899061573232,-0.0233717657228256
8,32,0.335997980574223,0.0514925472991135,-0.00120231118426894
9,32,0.448063000050932,0.032338021054732,-0.0214209777755607
-10,33,0.616515939604917,0.0142226994885675,-0.0405427060954011
-9,33,0.555621144715089,0.0196436435812072,-0.0348205984420591
-8,33,0.332613459898993,0.0521993549865293,-0.00045623640310799
-7,33,0.287628685772892,0.0625337376536504,0.0104522786344088
-6,33,0.214451499791852,0.0842479218547337,0.0333728064022188
-5,33,0.234033388073048,0.0776919520547398,0.0264526160577809
-4,33,0.238810499912679,0.0761858145360267,0.0248628042324727
-3,33,0.238226675169878,0.0763680475494928,0.0250551613022424
-2,33,0.281990000002715,0.0639665445328417,0.0119646858957774
-1,33,0.300366102483257,0.0594173235999359,0.00716273046659899
0,33,0.309357889155578,0.0573120562367389,0.00494050380544653
1,33,0.310996894259209,0.0569363608585179,0.00454393646176876
2,33,0.325195925194534,0.0537805298997629,0.0012127815608608
3,33,0.403534880640613,0.0390687510494454,-0.0143163183366966
4,33,0.355343211631327,0.0476195539547627,-0.00529047082552836
5,33,0.491805586185455,0.0266304602563053,-0.027445625285011
6,33,0.462392813066,0.0303768773935486,-0.0234910738623653
7,33,0.455470331852474,0.0313126504123532,-0.0225033134536272
8,33,0.333720695096254,0.0519671298370025,-0.000701362949830697
9,33,0.442865033017286,0.0330727814042533,-0.0206453974066216
-10,34,0.607216132309816,0.014979904447877,-0.0397434341939076
-9,34,0.547098913182769,0.0204941999174559,-0.0339227889760187
-8,34,0.32759854164101,0.0532634632565138,0.000666988992986894
-7,34,0.283730964117758,0.0635205490910166,0.0114939129294065
-6,34,0.211964652025376,0.085127926607349,0.0343017003077571
-5,34,0.231264443344114,0.0785809199060205,0.0273909710119106
-4,34,0.235994931269888,0.0770693451742179,0.0257954199061189
-3,34,0.235555201043275,0.0772084091110699,0.0259422096172405
-2,34,0.278641505091942,0.0648336036675991,0.0128799149824657
-1,34,0.296732230541236,0.0602899490301563,0.0080838350873873
0,34,0.305122856195903,0.0582941977481544,0.00597720873416296
1,34,0.306734424779054,0.0579185100078333,0.00558064945271297
2,34,0.320623904159034,0.0547777589712038,0.00226541224738186
3,34,0.397698378334127,0.0400290081856023,-0.0133027135818642
4,34,0.350173932814814,0.0486274972161694,-0.00422653071626566
5,34,0.484278648989761,0.027555018418108,-0.026469702780886
6,34,0.455227504276061,0.0313458663136242,-0.0224682522245079
7,34,0.448448833773549,0.0322839865231952,-0.0214780142255162
8,34,0.329287420247156,0.0529028320443708,0.000286322713502374
9,34,0.43575131324785,0.0340992227851363,-0.0195619315045783
-10,35,0.550269036433382,0.0201750092850947,-0.0342597124212891
-9,35,0.491344966627985,0.0266863870325613,-0.0273865914656297
-8,35,0.281966519542387,0.0639725820168136,0.0119710587955255
-7,35,0.244172274637939,0.0745354913977259,0.0231207964753772
-6,35,0.1815985590472,0.0968845118821964,0.0467114292089851
-5,35,0.199313682159272,0.089787842398741,0.0392205003097822
-4,35,0.203901724230628,0.0880613206662206,0.0373980607032328
-3,35,0.203298163972451,0.0882860062667575,0.0376352288371328
-2,35,0.242803774301873,0.074952764231963,0.0235612511337386
-1,35,0.259509268440596,0.070034482825642,0.0183697318715109
0,35,0.266343273496016,0.0681267546851427,0.0163560188343173
1,35,0.267825247689988,0.0677205726250006,0.0159272711041673
2,35,0.279339072735103,0.0646519619094933,0.0126881820155762
3,35,0.350933830052523,0.0484781260415754,-0.00438420028944808
4,35,0.305431164609278,0.0582221382374971,0.00590114591735802
5,35,0.427875007398099,0.0352646103062091,-0.0183318002323349
6,35,0.399479677622513,0.0397338840457409,-0.0136142335072735
7,35,0.393316733361264,0.0407627516863701,-0.0125282065532759
8,35,0.280488256431819,0.0643538896588677,0.0123735501954714
9,35,0.373434587673446,0.0442371733337334,-0.00886076148105919
-10,36,0.498931298163147,0.025775941118975,-0.0283476177077486
-9,36,0.448067898753308,0.0323373345756991,-0.0214217023923176
-8,36,0.270736818318907,0.0669301601429003,0.0150929468175058
-7,36,0.23993213702718,0.0758371232722065,0.0244947412317735
-6,36,0.183844236272331,0.0959444789657475,0.0457191722416223
-5,36,0.200475405850825,0.089346601396831,0.0387547459188771
-4,36,0.204624094137791,0.08779336173657,0.0371152151663795
-3,36,0.205673002613405,0.0874061152114222,0.03670645494539
-2,36,0.241619834089446,0.075315927170211,0.0239445897907783
-1,36,0.256625470525171,0.0708570525757998,0.019237999941122
0,36,0.264339661011335,0.0686801177672785,0.0169401243099051
1,36,0.265670560119265,0.0683120040792404,0.0165515598614204
2,36,0.271940917090576,0.0666061845487884,0.0147509725792766
3,36,0.335323767582897,0.0516326276850027,-0.00105444855471948
4,36,0.284615954436882,0.0632950796045645,0.0112559173603736
5,36,0.388331532652315,0.0416112770138908,-0.0116325409297819
6,36,0.364603555851208,0.0458606938916069,-0.00714704533663713
7,36,0.359418338542952,0.0468382633164929,-0.00611516649925758
8,36,0.263523575567345,0.0689069075922141,0.0171795135695593
9,36,0.345834737425496,0.0494885049395409,-0.0033176892304847
-10,37,0.395071401366354,0.0404675780306316,-0.0128397787454444
-9,37,0.349795660985413,0.0487020090005162,-0.00414787938834404
-8,37,0.195682290354534,0.0911853877645633,0.0406956870848169
-7,37,0.174832714760309,0.0997937933780007,0.0497823374545562
-6,37,0.132742531057529,0.121077350744039,0.0722483146742635
-5,37,0.146175433073091,0.11359891279278,0.0643544079479342
-4,37,0.150535089567332,0.111324235579073,0.0619533597779107
-3,37,0.152063308858713,0.110543104049829,0.0611288320525973
-2,37,0.182463344354912,0.0965210454831792,0.0463277702322447
-1,37,0.195288718143858,0.0913385465987027,0.0408573547430752
0,37,0.200901860447675,0.0891853269549229,0.038584511785752
1,37,0.201981296593677,0.0887787765701035,0.0381553752684425
2,37,0.20472354650299,0.0877565516402815,0.0370763600647416
3,37,0.258746412536268,0.0702510466559132,0.0185983270256861
4,37,0.210916986509576,0.0855020756728803,0.0346966354324847
5,37,0.29709786383672,0.060201564347814,0.00799054014491474
6,37,0.276146625115053,0.0654876763190869,0.0135703250034807
7,37,0.272086351479883,0.0665671677834931,0.0147097882159094
8,37,0.190239272102053,0.0933337801351705,0.0429634345871245
9,37,0.256791184890968,0.0708094958364652,0.0191878011607132
-10,38,0.292222015760303,0.0613911143897187,0.00924617630025859
-9,38,0.254656954619882,0.0714247020492915,0.0198371854964744
-8,38,0.131836467353522,0.121609575672336,0.0728101076541329
-7,38,0.121186053523532,0.128162543327888,0.0797271290683264
-6,38,0.0927255723714992,0.149032527867438,0.101756557193406
-5,38,0.104088783918926,0.140016148402738,0.0922392677584462
-4,38,0.108277289409142,0.136939562516446,0.0889917604340268
-3,38,0.109737085715539,0.135895382621312,0.0878895705447181
-2,38,0.134292214010999,0.120175661710231,0.0712965318052438
-1,38,0.144738851627207,0.114363954270588,0.065161951730065
0,38,0.148730821295612,0.112257190420033,0.062938145443368
