"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1617/01","2017","Hermitage","Jade","RCB",29.5666666666667,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Throttle","propiconazole",125,2,2017-03-13,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.359434040135306,NA,0.0186257869010656,0.280011148410428,"stdev",NA,NA,NA,NA,NA,140,12.9903810567666,171,15.5884572681199,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.46666666666667,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Throttle","propiconazole",125,2,2017-03-13,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,7.66666666666667,"1-9",0.577350269189626,"stdev",0.592761346944877,NA,0.0186257869010656,0.201154868759358,"stdev",NA,NA,NA,NA,NA,123.833333333333,5.83809329604567,150.333333333333,5.5075705472861,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.5,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Throttle","propiconazole",125,2,2017-03-13,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.601974423531506,NA,0.0186257869010656,0.103311206594914,"stdev",NA,NA,NA,NA,NA,125.5,8.26135582092915,153,9,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.46666666666667,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Folicur","tebuconazole",62,2,2017-03-13,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.559259728423486,NA,0.0186257869010656,0.0582653054712676,"stdev",NA,NA,NA,NA,NA,124.666666666667,7.0059498523279,152,7.54983443527075,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.66666666666667,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Folicur","tebuconazole",62,2,2017-03-13,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.503104157481603,NA,0.0186257869010656,0.138398594787188,"stdev",NA,NA,NA,NA,NA,159.166666666667,10.6926766215636,189.666666666667,9.50438495292217,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.46666666666667,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Folicur","tebuconazole",62,2,2017-03-13,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,7.66666666666667,"1-9",0.577350269189626,"stdev",0.482395949784343,NA,0.0186257869010656,0.111942273109425,"stdev",NA,NA,NA,NA,NA,137.666666666667,35.157976809443,163.666666666667,39.208842540087,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.46666666666667,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,3,2017-03-24,2017-04-07,NA,NA,NA,NA,NA,2,2017-06-26,2017-05-11,7,"1-9",0,"stdev",0.54074602257733,NA,0.0186257869010656,0.118318675458135,"stdev",NA,NA,NA,NA,NA,110.333333333333,13.5308289965299,133,11.7898261225516,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.53333333333333,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,3,2017-03-24,2017-04-07,NA,NA,NA,NA,NA,2,2017-06-26,2017-05-11,7,"1-9",0,"stdev",0.542846778651888,NA,0.0186257869010656,0.104749927188365,"stdev",NA,NA,NA,NA,NA,92.8333333333333,11.7933597135563,116,12.5299640861417,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.6,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,3,2017-03-24,2017-04-07,NA,NA,NA,NA,NA,2,2017-06-26,2017-05-11,7,"1-9",0,"stdev",0.428647668560059,NA,0.0186257869010656,0.149959575049308,"stdev",NA,NA,NA,NA,NA,109.333333333333,9.08753725347706,132.333333333333,9.29157324317757,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.4,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Throttle","propiconazole",125,3,2017-03-24,2017-04-07,NA,NA,NA,NA,NA,2,2017-06-26,2017-05-11,7,"1-9",0,"stdev",0.505994691838861,NA,0.0186257869010656,0.00374180446646348,"stdev",NA,NA,NA,NA,NA,98,20.2977831301844,121.666666666667,19.1398362932741,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.53333333333333,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Throttle","propiconazole",125,3,2017-03-24,2017-04-07,NA,NA,NA,NA,NA,2,2017-06-26,2017-05-11,7,"1-9",0,"stdev",0.379752860152559,NA,0.0186257869010656,0.222291452914511,"stdev",NA,NA,NA,NA,NA,77.1666666666667,4.93288286231625,101,4.35889894354067,32673.3814814815
