trial,trial_ref,year,location,row_spacing,first_sign_disease,fungicide_ai,fungicide_application_1,fungicide_application_2,fungicide_application_3,total_fungicide,grain_yield.t.ha,yield_error,PM_final_severity,PM_final_severity_error
mung0001/01_2001_Bongeen_1_Emerald_1,mung0001/01,1,Bongeen_1,1,2001-03-16,control,NA,NA,NA,0,0.506,0.085,3.4,0.54
mung0102/02_2002_Hermitage_Emerald_0.75,mung0102/02,2,Hermitage,0.75,2002-03-19,control,NA,NA,NA,0,NA,NA,3.5,0.42
mung0102/03_2002_Hermitage_Emerald_0.75,mung0102/03,2,Hermitage,0.75,2002-04-04,control,NA,NA,NA,0,NA,NA,3.67,0.45
mung0102/04_2002_Kingaroy_Emerald_0.9,mung0102/04,2,Kingaroy,0.9,2002-04-05,control,NA,NA,NA,1,0.945,NA,2.63,0.32
mung0304/01_2002_Redvale_Berken_0.9,mung0304/01,2,Redvale,0.9,2004-03-23,control,NA,NA,NA,1,0.814,NA,4.29,0.29
mung0910/01_2010_Hermitage_Berken_0.25,mung0910/01,3,Hermitage,0.25,2010-03-18,control,NA,NA,NA,0,1.0011,0.033003976,5,0
mung0910/01_2010_Hermitage_Crystal_0.25,mung0910/01,3,Hermitage,0.25,2010-03-18,control,NA,NA,NA,0,1.7045,0.110798065,5.333333333,0.577350269
mung0910/01_2010_Hermitage_Green Diamond_0.25,mung0910/01,3,Hermitage,0.25,2010-03-18,control,NA,NA,NA,0,1.0333,0.077024052,4.333333333,0.577350269
mung0910/02_2010_Kingaroy_Berken_0.25,mung0910/02,3,Kingaroy,0.25,2010-03-26,control,NA,NA,NA,0,1.428,12.5,6.667,17.9
mung0910/02_2010_Kingaroy_Crystal_0.25,mung0910/02,3,Kingaroy,0.25,2010-03-26,control,NA,NA,NA,0,1.381,103.217,4,17.9
mung0910/02_2010_Kingaroy_Green Diamond_0.25,mung0910/02,3,Kingaroy,0.25,2010-03-26,control,NA,NA,NA,0,1.373,103.217,3.667,17.9
mung1011/01_2011_Hermitage_Berken_0.75,mung1011/01,4,Hermitage,0.75,2011-03-28,control,NA,NA,NA,0,1.6618554,0.117323327,4.666666667,0.516397779
mung1011/01_2011_Hermitage_Berken_0.75,mung1011/01,4,Hermitage,0.75,2011-03-28,tebuconazole,2011-03-28,NA,NA,1,1.7693124,0.194419561,2,0
mung1011/01_2011_Hermitage_Crystal_0.75,mung1011/01,4,Hermitage,0.75,2011-03-28,control,NA,NA,NA,0,1.387592,0.12446517,5,0
mung1011/01_2011_Hermitage_Crystal_0.75,mung1011/01,4,Hermitage,0.75,2011-03-28,tebuconazole,2011-03-28,NA,NA,1,1.543895467,0.128326022,2.333333333,0.577350269
mung1011/02_2011_Kingaroy_Berken_0.75,mung1011/02,4,Kingaroy,0.75,2011-03-22,control,NA,NA,NA,0,0.79846,0.151042955,8,0
mung1011/02_2011_Kingaroy_Berken_0.75,mung1011/02,4,Kingaroy,0.75,2011-03-22,tebuconazole,2011-03-23,NA,NA,1,1.05857,0.082443813,5.333333333,1.154700538
mung1011/02_2011_Kingaroy_Berken_0.75,mung1011/02,4,Kingaroy,0.75,2011-03-22,tebuconazole,2011-03-23,2011-04-13,NA,2,0.986235,0.146495822,3.333333333,0.577350269
mung1011/02_2011_Kingaroy_Berken_0.75,mung1011/02,4,Kingaroy,0.75,2011-03-22,tebuconazole,2011-03-09,2011-03-30,2011-04-13,3,0.86358,0.090367908,3.666666667,0.577350269
mung1011/02_2011_Kingaroy_Crystal_0.75,mung1011/02,4,Kingaroy,0.75,2011-03-22,control,NA,NA,NA,0,0.79846,0.165196506,7.666666667,0.577350269
mung1011/02_2011_Kingaroy_Crystal_0.75,mung1011/02,4,Kingaroy,0.75,2011-03-22,tebuconazole,2011-03-23,NA,NA,1,0.730195,0.186868041,4.333333333,0.577350269
mung1011/02_2011_Kingaroy_Crystal_0.75,mung1011/02,4,Kingaroy,0.75,2011-03-22,tebuconazole,2011-03-23,2011-04-13,NA,2,0.87542,0.285158942,4,0
