"start_day","end_day","lm_pval","lm_rsquared","lm_adj_rsquared"
-10,65,0.91088772671028,0.00119087721901899,-0.0896099521247065
-9,65,0.00490208484415666,0.527998841833503,0.485089645636548
-8,65,0.0025618234705304,0.577850300495764,0.539473055086288
-7,65,0.00156316641219924,0.612505284921706,0.577278492641861
-6,65,0.00123843266026641,0.627905131909219,0.594078325719148
-5,65,0.00153671510358624,0.613653849814485,0.578531472524893
-4,65,0.00155775448524026,0.612738948970794,0.57753339887723
-3,65,0.00146380935722118,0.616907542675362,0.582080955645849
-2,65,0.00143849816251775,0.618068918260345,0.583347910829467
-1,65,0.0014372817052589,0.618125163663083,0.583409269450636
0,65,0.00122335710718293,0.628699004418752,0.59494436845682
1,65,0.00124005850470729,0.627819999169873,0.593985453639861
2,65,0.00132728629961849,0.623383855180756,0.589146023833552
3,65,0.00157182733359226,0.612132749244089,0.57687209008446
4,65,0.00172703706098395,0.60573203018777,0.569889487477567
5,65,0.00193307994523739,0.597941958376374,0.561391227319681
6,65,0.00177977533534182,0.603666824723766,0.56763653606229
7,65,0.00176697939556459,0.604163145153025,0.568177976530573
8,65,0.00217537182123909,0.58962711043764,0.552320484113789
9,65,0.00186184384150501,0.600552890529448,0.564239516941217
-10,66,0.00671553412758688,0.501958308156924,0.456681790716645
-9,66,0.00487856081867736,0.528387187555765,0.48551329551538
-8,66,0.00255720792933631,0.577981856539074,0.539616570769899
-7,66,0.00156400992698714,0.612468926592395,0.577238829009885
-6,66,0.00124188314503753,0.627724568145017,0.593881347067292
-5,66,0.00154163158319371,0.613439120838316,0.578297222732708
-4,66,0.0015633549933606,0.612497155012158,0.577269623649627
-3,66,0.00146777840688699,0.616726954883111,0.581883950781576
-2,66,0.00144257091876692,0.617880895377596,0.583142794957378
-1,66,0.00144136236515944,0.617936643048904,0.583203610598804
0,66,0.00122718142618332,0.628496846166118,0.59472383218122
1,66,0.00124391939097806,0.627618208231182,0.59376531807038
2,66,0.00133182526900535,0.623159766560804,0.588901563520877
3,66,0.00157679156935322,0.611919995165262,0.57663999472574
4,66,0.00172971602206888,0.605625857400929,0.569773662619196
5,66,0.00193663194099456,0.597813896896531,0.561251523887125
6,66,0.00178423410021672,0.603494583896935,0.567448636978475
7,66,0.00177164280153707,0.603981916108975,0.567980272118882
8,66,0.00218183257102052,0.589416258696455,0.552090464032497
9,66,0.00186792428344358,0.600326790591749,0.563992862463727
-10,67,0.00581819857932896,0.513979061938777,0.469795340296848
-9,67,0.00410981917328445,0.542043934218773,0.500411564602298
-8,67,0.00214787803672019,0.590530315039696,0.553305798225123
-7,67,0.0013167090669139,0.623908551043808,0.589718419320517
-6,67,0.0010555923409412,0.638135228535667,0.605238431129818
-5,67,0.00132627330372631,0.623433954223268,0.589200677334474
-4,67,0.00134969393263368,0.622283755040201,0.58794591458931
-3,67,0.00126966728593851,0.626285719355973,0.59231169384288
-2,67,0.0012479557003302,0.627407808024918,0.593535790572638
-1,67,0.00124692511679894,0.627461474957543,0.59359433631732
0,67,0.00105149852625208,0.638380745401645,0.605506267710885
1,67,0.00106632832404016,0.637495121609165,0.604540132664544
2,67,0.00113781907092209,0.633364867313318,0.600034400705438
3,67,0.00135508280518379,0.622021470456633,0.58765978595269
4,67,0.00150138329206804,0.615214135287043,0.580233602131319
5,67,0.00166667772502318,0.608161581745311,0.572539907358521
6,67,0.00154066269697874,0.613481391860627,0.578343336575229
7,67,0.00153086774181807,0.61390998580208,0.578810893602269
8,67,0.00182566561814608,0.601911120825024,0.565721222718208
9,67,0.00155292818910203,0.612947902262031,0.577761347922216
-10,68,0.00573657096800442,0.51514913125089,0.471071779546425
