"start_day","end_day","lm_pval","lm_rsquared","lm_adj_rsquared"
-10,65,0.0838777647662213,0.156850299972703,0.110008649971187
-9,65,0.0803473323216952,0.160199922126609,0.113544362244754
-8,65,0.0579319353392883,0.185581084881843,0.140335589597501
-7,65,0.0589088727089719,0.184288925760773,0.138971643858594
-6,65,0.0511415888455495,0.195190633832037,0.150479002378261
-5,65,0.054412276882946,0.190417719768308,0.145440926422103
-4,65,0.0563107115801338,0.187772637134773,0.142648894753372
-3,65,0.0581892582391976,0.18523870049169,0.139974183852339
-2,65,0.0669295254973734,0.174403956136672,0.128537509255376
-1,65,0.0705651909976122,0.170297635584623,0.124203059783769
0,65,0.0680903932256389,0.173069640509712,0.127129064982474
1,65,0.0682910511354906,0.172841251889595,0.126887988105684
2,65,0.0711907450161694,0.169611991500401,0.123479324361535
3,65,0.0843604351714028,0.156403197676565,0.109536708658596
4,65,0.0767854549170124,0.163729605513942,0.117270139153605
5,65,0.102146855470164,0.141485006225191,0.0937897287932575
6,65,0.0984929202839535,0.144326278506769,0.0967888495349229
7,65,0.0979332150509983,0.144770792099614,0.0972580583273698
8,65,0.0788546308779286,0.161660019215133,0.115085575838195
9,65,0.0929585824123631,0.148836800455711,0.101549956036583
-10,66,0.0810205105062342,0.159550165885997,0.112858508435219
-9,66,0.0776862797806906,0.162821947015955,0.116312055183508
-8,66,0.0560219279962888,0.188169396978775,0.143067696810929
-7,66,0.0571198694787065,0.186671313297938,0.141486386258935
-6,66,0.0496416623921097,0.197478516143877,0.152893989262981
-5,66,0.0528568495769433,0.192652072034708,0.147799409369969
-4,66,0.0547337355365794,0.189963632402769,0.1449616119807
-3,66,0.0565802842587502,0.187404040240453,0.142259820253812
-2,66,0.0651470146388374,0.176497326187773,0.13074717764265
-1,66,0.068711385527631,0.172364941694095,0.126385216232656
0,66,0.0662708589286064,0.175171097321949,0.129347269395391
1,66,0.0664669263312081,0.174941966583495,0.129105409171467
2,66,0.0693083253063462,0.171693370091148,0.125676335096212
3,66,0.0822140794783656,0.158411096592535,0.111656157514343
4,66,0.07478822583975,0.165779844215443,0.119434280005189
5,66,0.099668221900868,0.143401024251528,0.0958121922655017
6,66,0.0961135214502055,0.146233714795106,0.0988022545059456
7,66,0.0955730901535153,0.146673514934397,0.0992664879863081
8,66,0.0769122420322762,0.163601226055658,0.117134627503194
9,66,0.0907278993325159,0.150730917427895,0.103549301729445
-10,67,0.0781413961268346,0.162367303075654,0.115832153246524
-9,67,0.0744881003808869,0.166092568370477,0.119764377724392
-8,67,0.0537667652131343,0.191337422910276,0.146411724183069
-7,67,0.0550529913221553,0.189515195107214,0.144488261502059
-6,67,0.0479545145690751,0.200132673638572,0.155695599951826
-5,67,0.0511256893391769,0.195214545855268,0.150504242847227
-4,67,0.0529814432718002,0.192470776494522,0.147608041855328
-3,67,0.0547865398199856,0.189889287917445,0.144883137246192
-2,67,0.0631432074728326,0.178918159259655,0.133302501440747
-1,67,0.0666201974049733,0.174763306913555,0.128916823964308
0,67,0.0641724605674931,0.177665522923539,0.131980274197069
1,67,0.064363620277129,0.177435026357331,0.131736972266072
2,67,0.0670473049386186,0.174267555214828,0.128393530504541
3,67,0.0796287818606729,0.160899414380008,0.114282715178897
4,67,0.0725016113546766,0.16819410936527,0.121982670996674
5,67,0.096555652369525,0.145875741654753,0.0984243939689056
6,67,0.093166201187239,0.148662812413311,0.101366301991828
7,67,0.0926521592323668,0.149094295959786,0.101821756846441
8,67,0.0738823422479818,0.166727534454497,0.120434619701969
9,67,0.0872851654971428,0.153746926274439,0.106732866623019
-10,68,0.0707536420332788,0.17009045899747,0.123984373386218
-9,68,0.0676578951990758,0.173564149077888,0.127651046248881
-8,68,0.0487608559589892,0.198853177046204,0.154345020215438
-7,68,0.0501712449223274,0.196663234330858,0.152033414015905
-6,68,0.0438667334672934,0.206954022703626,0.162895912853827
-5,68,0.0469190628277425,0.201806315762725,0.157462222193988
-4,68,0.0487338016767717,0.198895776442838,0.154389986245218
-3,68,0.0503144749902976,0.196444154568739,0.151802163155892
-2,68,0.0580853270458493,0.185376810916032,0.140119967078034
-1,68,0.061326524097334,0.181178296482932,0.135688201843095
0,68,0.0588935738554318,0.18430900072017,0.138992834093513
1,68,0.0590731101120624,0.184073732794094,0.138744495727099
2,68,0.0615966036373696,0.180838212013274,0.135329223791789
3,68,0.0733641857911822,0.167274735491417,0.121012220796496
4,68,0.0662319219759188,0.175216678854518,0.129395383235324
5,68,0.0888929962400541,0.152323972976955,0.105230860364564
6,68,0.085736473734968,0.155142302516652,0.108205763767577
7,68,0.0852811131135471,0.155557330829413,0.108643849208825
8,68,0.0675231635342249,0.173718827871521,0.127814318308828
9,68,0.0801072779061141,0.160432922019314,0.113790306575942
-10,69,0.0631072960521603,0.178962221911785,0.133349012017995
-9,69,0.0608859696689806,0.181736171962916,0.1362770704053
-8,69,0.0446057261462642,0.20567699361553,0.161547937705282
-7,69,0.0466117347820815,0.202309876527099,0.157993758556382
-6,69,0.0411385726828084,0.211853379260933,0.168067455886541
-5,69,0.0441821005498526,0.206406551179506,0.162318026245034
-4,69,0.045983507741237,0.203349203176673,0.159090825575377
-3,69,0.0465389994609915,0.202429519546356,0.158120048410042
-2,69,0.0539155732489081,0.191124466073361,0.14618693641077
-1,69,0.0569868709176191,0.186851295049701,0.141676366996907
0,69,0.054747598110789,0.18994410824072,0.144941003142982
1,69,0.0549179917923375,0.189704513082598,0.144688097142743
2,69,0.0573861726872722,0.186312149541949,0.141107268960946
3,69,0.0685529691480984,0.172544119753575,0.126574348628773
4,69,0.0618585497729662,0.180509747869464,0.13498251163999
5,69,0.0835028539187739,0.157199340569,0.110377081711722
6,69,0.0807545632717785,0.15980622219174,0.113128790091282
7,69,0.0803602319168765,0.160187421031112,0.113531166643951
8,69,0.0630669760457859,0.179011722842696,0.133401263000624
9,69,0.0751104274981268,0.165445483662977,0.119081343866475
-10,70,0.0617132505253882,0.180691777074711,0.135174653578862
-9,70,0.0583264920596929,0.185056700438899,0.139782072685505
-8,70,0.0421326998350575,0.210033125143128,0.166146076539969
-7,70,0.0436661159048674,0.207304251615126,0.163265598927078
-6,70,0.0385953563482609,0.216707961341821,0.173191736971922
-5,70,0.0415924101323275,0.211017254637519,0.167184879895159
-4,70,0.0433871692580611,0.207793786916373,0.163782330633949
-3,70,0.0439759984606968,0.206763916083664,0.162695244754978
-2,70,0.0511762377969985,0.195138548377351,0.150424023287204
-1,70,0.0541791059742978,0.190748714587965,0.145790309842852
0,70,0.0518982973699988,0.194060771766974,0.149286370198472
1,70,0.0520633442231387,0.193816441817482,0.149028466362897
2,70,0.054431246675296,0.190390851616804,0.145412565595515
3,70,0.0653348903012186,0.176274075143286,0.130511523762358
4,70,0.0588879503950991,0.184316381021103,0.139000624411164
5,70,0.0799380884764568,0.160597552859001,0.113964083573389
6,70,0.0773226484090295,0.163187086084124,0.116697479755464
7,70,0.0769608001795115,0.163552113092867,0.11708278604247
8,70,0.0601300642764858,0.182702556292396,0.137297142753085
9,70,0.0715635672084185,0.169206151744638,0.123050937952673
-10,71,0.062177765504066,0.18011129044826,0.134561917695385
-9,71,0.0586919764817288,0.184574006606553,0.13927256252914
-8,71,0.0423738776412868,0.209597703978348,0.165686465310479
-7,71,0.0438640115291522,0.206958764289138,0.162900917860757
-6,71,0.0387695243027884,0.216365928183691,0.172830701971674
-5,71,0.0417838067490847,0.210667241315809,0.166815421388909
-4,71,0.0435887414078159,0.207439739355405,0.163408613764038
-3,71,0.0441828622546916,0.206405233400024,0.162316635255581
-2,71,0.051417460819813,0.194776870882066,0.150042252597736
-1,71,0.0544344123901935,0.190386368687758,0.145407833614855
0,71,0.0521454385633771,0.193695189444536,0.14890047774701
1,71,0.0523113001250732,0.193450773323347,0.148642482952422
2,71,0.0546921083003089,0.190022289212322,0.145023527501896
3,71,0.0656477992682341,0.175903630799422,0.130120499177167
4,71,0.0591720559183043,0.183944367834327,0.138607943825123
5,71,0.0803230606839317,0.160223449314264,0.11356919649839
6,71,0.0776945878197673,0.162813624167951,0.11630326995506
7,71,0.0773295738506787,0.163180116181191,0.116690122635702
8,71,0.0604326296936768,0.182314337457118,0.136887356204736
9,71,0.07192582532629,0.168813787178558,0.122636775355144
-10,72,0.0606459493891757,0.182041759261488,0.136599634776015
-9,72,0.0572409849331724,0.186507764422614,0.141313751334981
-8,72,0.0412676086234867,0.211614759552173,0.167815579527293
-7,72,0.0427654733112071,0.208895731223005,0.164945494068728
-6,72,0.0378451729344491,0.218198156991903,0.174764721269231
-5,72,0.0407941562537036,0.212493801715819,0.168743457366697
-4,72,0.0425604560669249,0.209262475534776,0.165332613064486
-3,72,0.0431603620108002,0.208194041302124,0.164204821374464
-2,72,0.0502602562077198,0.196527015186656,0.15188962714147
-1,72,0.0532211267542038,0.192123166103442,0.147241119775856
0,72,0.0509623353506394,0.19546063657646,0.150764005275152
1,72,0.0511251480792153,0.195215360007676,0.150505102230325
2,72,0.0534532055971503,0.191788018405467,0.146887352761326
3,72,0.0642010574474881,0.177630998958656,0.131943832234137
4,72,0.0578478675928886,0.185693261093609,0.140453997821032
5,72,0.07852669442317,0.161984434870828,0.115428014585873
6,72,0.0759128993198846,0.164618805589423,0.11820873923328
7,72,0.0755599036580052,0.164981387956375,0.118591465065063
8,72,0.0588904098232852,0.184313153152332,0.13899721721635
9,72,0.0699886470306434,0.170934841272509,0.124875665787648
-10,73,0.0648960768554757,0.176796492242351,0.131062964033593
-9,73,0.0613497608006101,0.181148979753137,0.135657256406089
-8,73,0.0446471950002551,0.205605933275052,0.16147292956811
-7,73,0.0460650044735006,0.203213611879918,0.158947701428802
-6,73,0.0407967603018154,0.212488940336135,0.168738325910365
-5,73,0.0439332491018941,0.206838240503168,0.162773698308899
-4,73,0.0457791289462239,0.20369025552378,0.159450825275101
-3,73,0.0464609891315183,0.202558038662731,0.158255707477327
-2,73,0.0539471459042179,0.19107935578536,0.146139319995658
-1,73,0.0570604112896302,0.186751725639002,0.14157126595228
0,73,0.054805191391808,0.189863044411955,0.144855435768175
1,73,0.0549785209528172,0.189619573945322,0.144598439164507
2,73,0.0574343996761229,0.186247277998931,0.141038793443316
3,73,0.0687513145283686,0.172319843280801,0.126337612351957
4,73,0.061914289269035,0.180440028131558,0.134908918583311
5,73,0.083559816810485,0.157146208749312,0.110320998124274
6,73,0.0807827110026077,0.159779082029132,0.113100142141861
7,73,0.0803759064864393,0.160172233346414,0.113515135198992
8,73,0.062632657730103,0.179546892876634,0.133966164703114
9,73,0.0743400678760623,0.166247270115018,0.119927674010297
-10,74,0.0647832278336592,0.176931396872207,0.131205363365107
-9,74,0.061266786890649,0.181253713763938,0.135767808973045
